"ProductCode","Name","TamilName","Category","Mrp","SellingPrice","PurchasePrice","Barcode","TaxSlabName","IsWeighable","HasExpiry","Uom"
"BA-10087","DOVE DRY CARE","டவ் சாம்பூ 62","","72.00","70.00","65.00","11437","GST 0%","FALSE","TRUE","Pcs"
"BA-10087","DOVE DRY CARE","டவ் சாம்பூ 62","","76.00","76.00","69.09","104270","GST 0%","FALSE","TRUE","Pcs"
"BA-10088","FL MENS 25G","பேரன் லவ்லி MEN","","78.00","76.00","64.58","11438","GST 0%","FALSE","TRUE","Pcs"
"BA-10088","FL MENS 25G","பேரன் லவ்லி MEN","","90.00","88.00","81.82","120699","GST 0%","FALSE","TRUE","Pcs"
"BA-10089","REXONA MEN ROLL 225","225 ரெக்சோனா","","225.00","195.00","115.00","11439","GST 0%","FALSE","TRUE","Pcs"
"BA-1009","RIN POWDER 2RS 12P","2ரூ..ரின் பவுடர்","","24.00","22.00","21.43","2063","GST 0%","FALSE","TRUE","Pcs"
"BA-10090","CITTY RUSK BOX","சிட்டி ரஸ்க் BOX","","500.00","420.00","390.00","11440","GST 0%","FALSE","TRUE","Pcs"
"BA-10091","block rose hair color","BLOCK ROSE HAIR COLOR","","12.00","10.00","8.00","11441","GST 0%","FALSE","TRUE","Pcs"
"BA-10092","PADIKARAM","படிகாரம்","","250.00","200.00","45.00","11442","GST 0%","FALSE","TRUE","Pcs"
"BA-10093","WONDER BREAD","வென்டர் பிரட்","","30.00","29.00","25.00","131914","GST 0%","FALSE","TRUE","Pcs"
"BA-10094","covering earing 120","கவரிங் தோடு 120","","150.00","120.00","50.00","11446","GST 0%","FALSE","TRUE","Pcs"
"BA-10095","COVERING BABY CHAIN","கவரிங் பேபி செயின்","","140.00","95.00","50.00","11447","GST 0%","FALSE","TRUE","Pcs"
"BA-10096","cOVERING CHAIN 440","கவரிங் செயின் 440","","600.00","330.00","180.00","11448","GST 0%","FALSE","TRUE","Pcs"
"BA-10097","COVERING EARING 145","COVERING THODU 145","","190.00","90.00","45.00","11449","GST 0%","FALSE","TRUE","Pcs"
"BA-10098","COVERING EARING 160","கவரிங் தோடு 160","","200.00","160.00","80.00","11450","GST 0%","FALSE","TRUE","Pcs"
"BA-10099","cOVERING CHAIN 420","கவரிங் செயின் 420","","500.00","260.00","180.00","11451","GST 0%","FALSE","TRUE","Pcs"
"BA-101","QUACKER OATS TIN","குவாக்கர் ஓட்ஸ் டின்","","240.00","195.00","165.00","1153","GST 0%","FALSE","TRUE","Pcs"
"BA-1010","RIN POWDER 5RS","5ரூ..ரின் பவுடர்","","5.00","4.75","0.00","2064","GST 0%","FALSE","TRUE","Pcs"
"BA-10100","COVERING BABY CHAIN 195","கவரிங் பேபி செயின் 195","","250.00","195.00","110.00","11452","GST 0%","FALSE","TRUE","Pcs"
"BA-10101","COVERING EARING 90","COVERING EARING 90","","120.00","90.00","35.00","11453","GST 0%","FALSE","TRUE","Pcs"
"BA-10102","COVERING CHAIN 490","கவரிங் செயின் 490","","550.00","370.00","180.00","11454","GST 0%","FALSE","TRUE","Pcs"
"BA-10103","COVERING EARING 65","கவரிங் தோடு 65","","100.00","65.00","30.00","11455","GST 0%","FALSE","TRUE","Pcs"
